freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.749e+01,2.994e+01,4.623e+02,5.097e+02
1.5,3.802e+01,7.551e+01,3.313e+02,4.449e+02
3.0,4.313e+01,7.810e+01,9.418e+01,2.154e+02
4.6,4.441e+01,7.041e+01,3.560e+02,4.708e+02
6.1,4.016e+01,8.746e+01,1.229e+03,1.357e+03
7.6,3.699e+01,7.513e+01,2.047e+03,2.160e+03
9.1,4.566e+01,7.247e+01,2.931e+03,3.049e+03
10.6,5.395e+01,1.048e+02,3.990e+03,4.149e+03
12.2,4.386e+01,8.227e+01,5.261e+03,5.387e+03
13.7,4.062e+01,6.956e+01,6.309e+03,6.419e+03
15.2,4.215e+01,6.889e+01,7.560e+03,7.671e+03
16.7,4.225e+01,8.240e+01,9.580e+03,9.705e+03
18.2,4.471e+01,8.787e+01,1.155e+04,1.168e+04
19.7,4.114e+01,8.177e+01,1.366e+04,1.378e+04
21.3,4.042e+01,7.913e+01,1.592e+04,1.604e+04
22.8,4.602e+01,6.672e+01,1.813e+04,1.824e+04
24.3,4.397e+01,6.127e+01,2.158e+04,2.169e+04
25.8,3.562e+01,6.005e+01,2.548e+04,2.557e+04
27.3,3.866e+01,6.454e+01,2.974e+04,2.984e+04
28.9,4.732e+01,6.406e+01,3.422e+04,3.434e+04
30.4,5.527e+01,6.014e+01,3.677e+04,3.688e+04
31.9,6.214e+01,5.828e+01,4.078e+04,4.090e+04
33.4,7.889e+01,7.324e+01,4.821e+04,4.836e+04
34.9,9.581e+01,8.608e+01,5.671e+04,5.690e+04
36.5,9.390e+01,8.376e+01,6.605e+04,6.622e+04
38.0,7.822e+01,8.794e+01,7.879e+04,7.896e+04
39.5,6.533e+01,8.749e+01,9.130e+04,9.146e+04
41.0,6.027e+01,1.012e+02,1.092e+05,1.093e+05
42.5,6.908e+01,1.488e+02,1.320e+05,1.323e+05
44.0,1.745e+02,2.508e+02,1.574e+05,1.579e+05
45.6,6.782e+02,5.647e+02,1.917e+05,1.929e+05
47.1,1.579e+03,1.187e+03,2.379e+05,2.406e+05
48.6,1.774e+03,1.573e+03,2.692e+05,2.726e+05
50.1,1.496e+03,1.646e+03,2.700e+05,2.731e+05
51.6,2.312e+03,2.439e+03,3.036e+05,3.084e+05
53.2,3.613e+03,3.472e+03,3.787e+05,3.858e+05
54.7,5.497e+03,3.535e+03,4.876e+05,4.966e+05
56.2,6.648e+03,3.693e+03,5.861e+05,5.964e+05
57.7,5.448e+03,5.488e+03,6.881e+05,6.990e+05
59.2,7.189e+03,8.704e+03,1.007e+06,1.022e+06
60.8,1.071e+04,1.384e+04,1.453e+06,1.477e+06
62.3,1.491e+04,2.237e+04,1.835e+06,1.873e+06
63.8,1.877e+04,3.161e+04,2.101e+06,2.152e+06
65.3,2.121e+04,3.518e+04,1.973e+06,2.030e+06
66.8,1.616e+04,2.789e+04,1.481e+06,1.525e+06
68.3,9.767e+03,1.911e+04,1.047e+06,1.076e+06
69.9,4.513e+03,1.528e+04,7.998e+05,8.196e+05
71.4,2.030e+03,1.427e+04,6.043e+05,6.206e+05
72.9,1.673e+03,1.300e+04,4.450e+05,4.597e+05
74.4,2.675e+03,1.416e+04,3.296e+05,3.464e+05
75.9,3.744e+03,1.557e+04,2.424e+05,2.617e+05
77.5,4.046e+03,1.515e+04,1.742e+05,1.934e+05
79.0,4.060e+03,1.255e+04,1.223e+05,1.390e+05
80.5,3.995e+03,9.384e+03,9.162e+04,1.050e+05
