freq,psd_x,psd_y,psd_z,psd_xyz
165.6,6.196e+03,4.643e+03,1.251e+04,2.335e+04
167.2,9.859e+03,6.798e+03,2.115e+04,3.781e+04
168.7,1.262e+04,8.991e+03,2.599e+04,4.760e+04
170.2,1.509e+04,1.072e+04,2.907e+04,5.489e+04
171.7,1.887e+04,1.323e+04,3.297e+04,6.508e+04
173.2,2.012e+04,1.388e+04,3.177e+04,6.576e+04
174.8,1.959e+04,1.373e+04,3.028e+04,6.360e+04
176.3,2.104e+04,1.431e+04,3.373e+04,6.907e+04
177.8,2.251e+04,1.454e+04,3.801e+04,7.506e+04
179.3,2.551e+04,1.544e+04,4.473e+04,8.569e+04
180.8,2.804e+04,1.573e+04,5.106e+04,9.484e+04
182.4,2.963e+04,1.699e+04,5.646e+04,1.031e+05
183.9,3.140e+04,1.963e+04,6.359e+04,1.146e+05
185.4,3.203e+04,2.051e+04,7.053e+04,1.231e+05
186.9,3.424e+04,2.154e+04,7.979e+04,1.356e+05
188.4,3.513e+04,2.199e+04,8.533e+04,1.425e+05
190.0,3.580e+04,2.182e+04,9.081e+04,1.484e+05
191.5,3.784e+04,2.125e+04,9.879e+04,1.579e+05
193.0,4.110e+04,1.989e+04,1.100e+05,1.710e+05
194.5,4.654e+04,2.062e+04,1.254e+05,1.925e+05
196.0,5.032e+04,2.178e+04,1.363e+05,2.084e+05
197.6,4.784e+04,1.982e+04,1.260e+05,1.936e+05
199.1,4.121e+04,1.690e+04,1.056e+05,1.638e+05
