freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.480e+01,2.467e+01,4.535e+02,4.930e+02
1.5,2.970e+01,4.848e+01,3.099e+02,3.881e+02
3.0,2.927e+01,4.071e+01,7.708e+01,1.471e+02
4.6,3.116e+01,3.739e+01,3.593e+02,4.279e+02
6.1,2.937e+01,4.098e+01,1.240e+03,1.310e+03
7.6,2.957e+01,3.521e+01,2.047e+03,2.112e+03
9.1,2.649e+01,4.085e+01,3.089e+03,3.156e+03
10.6,2.809e+01,6.711e+01,4.494e+03,4.589e+03
12.2,3.027e+01,8.586e+01,5.187e+03,5.303e+03
13.7,2.950e+01,1.872e+02,6.386e+03,6.603e+03
15.2,3.205e+01,8.079e+02,7.940e+03,8.780e+03
16.7,3.354e+01,1.128e+03,9.696e+03,1.086e+04
18.2,3.076e+01,5.137e+02,1.219e+04,1.273e+04
19.8,3.096e+01,3.246e+02,1.509e+04,1.545e+04
21.3,3.568e+01,2.559e+02,1.706e+04,1.735e+04
22.8,3.894e+01,1.766e+02,1.911e+04,1.933e+04
24.3,4.110e+01,1.746e+02,2.230e+04,2.252e+04
25.8,4.136e+01,1.800e+02,2.600e+04,2.622e+04
27.4,4.368e+01,1.494e+02,2.991e+04,3.010e+04
28.9,4.664e+01,1.488e+02,3.398e+04,3.418e+04
30.4,4.888e+01,1.220e+02,3.748e+04,3.765e+04
31.9,5.135e+01,1.079e+02,4.172e+04,4.188e+04
33.4,5.865e+01,9.933e+01,4.854e+04,4.870e+04
35.0,7.438e+01,9.148e+01,5.792e+04,5.809e+04
36.5,9.048e+01,8.687e+01,6.780e+04,6.798e+04
38.0,9.593e+01,6.999e+01,8.029e+04,8.045e+04
39.5,8.378e+01,7.657e+01,9.324e+04,9.340e+04
41.0,8.261e+01,8.230e+01,1.117e+05,1.118e+05
42.6,1.067e+02,9.183e+01,1.357e+05,1.359e+05
44.1,1.283e+02,1.189e+02,1.603e+05,1.605e+05
45.6,2.135e+02,2.534e+02,1.954e+05,1.958e+05
47.1,4.184e+02,4.996e+02,2.449e+05,2.458e+05
48.6,5.316e+02,8.302e+02,2.870e+05,2.883e+05
50.2,3.303e+02,1.254e+03,2.878e+05,2.894e+05
51.7,5.812e+02,1.535e+03,3.044e+05,3.065e+05
53.2,1.016e+03,1.849e+03,3.640e+05,3.669e+05
54.7,1.083e+03,2.065e+03,4.698e+05,4.729e+05
56.2,1.107e+03,2.510e+03,5.800e+05,5.837e+05
57.8,3.190e+03,3.808e+03,7.007e+05,7.077e+05
