#time,accel_x,accel_y,accel_z
1273.435081,-9622.677246,-370.102971,766.095498
1273.435402,-9474.636058,-222.061783,1072.533697
1273.435722,-9474.636058,-370.102971,1072.533697
1273.436043,-9622.677246,-370.102971,995.924147
1273.436364,-9474.636058,-74.020594,1072.533697
1273.436685,-9474.636058,-444.123565,1302.362347
1273.437006,-9474.636058,-444.123565,1149.143247
1273.437327,-9400.615463,148.041188,459.657299
1273.437648,-9474.636058,-444.123565,1302.362347
1273.437969,-9696.697840,-222.061783,689.485948
1273.438290,-9474.636058,-148.041188,995.924147
1273.438611,-9992.780217,-296.082377,1302.362347
1273.438932,-9622.677246,-740.205942,1302.362347
1273.439253,-9400.615463,-888.247130,995.924147
1273.439573,-9696.697840,-444.123565,1072.533697
1273.439894,-9696.697840,-592.164754,1455.581446
1273.440215,-9548.656652,-1036.288319,1149.143247
1273.440536,-9400.615463,-740.205942,1149.143247
1273.440857,-9770.718434,-740.205942,995.924147
1273.441178,-9548.656652,-740.205942,995.924147
1273.441499,-9992.780217,-962.267725,612.876398
1273.441820,-9622.677246,-518.144159,919.314598
1273.442141,-9770.718434,-740.205942,612.876398
1273.442462,-9474.636058,-444.123565,1149.143247
1273.442783,-9696.697840,-666.185348,919.314598
1273.443104,-9622.677246,-740.205942,1149.143247
1273.443424,-9770.718434,-1184.329507,1455.581446
1273.443745,-9400.615463,-1332.370696,1532.190996
1273.444066,-9844.739029,-1258.350101,1532.190996
1273.444387,-9844.739029,-1480.411884,1838.629195
1273.444708,-9474.636058,-1184.329507,2221.676944
1273.445029,-9696.697840,-1184.329507,1915.238745
1273.445350,-9474.636058,-962.267725,1991.848295
1273.445671,-9178.553681,-518.144159,1991.848295
1273.445992,-9622.677246,-1036.288319,2068.457845
1273.446313,-9696.697840,-740.205942,2528.115143
1273.446634,-9548.656652,-888.247130,2451.505594
1273.446955,-9696.697840,-888.247130,2681.334243
1273.447276,-9622.677246,-888.247130,2834.553343
1273.447596,-9844.739029,-1258.350101,3447.429741
1273.447917,-9696.697840,-1406.391290,4136.915689
1273.448238,-9696.697840,-1406.391290,4826.401637
1273.448559,-9400.615463,-2072.576638,5132.839837
1273.448880,-9622.677246,-2368.659014,4903.011187
1273.449201,-9474.636058,-3330.926739,5362.668486
1273.449522,-9326.594869,-3552.988522,5209.449386
1273.449843,-9252.574275,-3923.091493,4366.744339
