#time,accel_x,accel_y,accel_z
1290.457845,-9548.656652,-518.144159,1149.143247
1290.458165,-9622.677246,-370.102971,1072.533697
1290.458486,-9474.636058,-370.102971,995.924147
1290.458807,-9548.656652,-592.164754,1225.752797
1290.459128,-9622.677246,-222.061783,1225.752797
1290.459449,-9622.677246,-444.123565,995.924147
1290.459769,-9622.677246,-518.144159,689.485948
1290.460090,-9548.656652,0.000000,1149.143247
1290.460411,-9474.636058,-296.082377,995.924147
1290.460732,-9548.656652,-444.123565,919.314598
1290.461053,-9918.759623,-370.102971,-459.657299
1290.461373,-9622.677246,-222.061783,995.924147
1290.461694,-9622.677246,0.000000,1532.190996
1290.462015,-9844.739029,-370.102971,1455.581446
1290.462336,-9474.636058,-740.205942,1455.581446
1290.462657,-9474.636058,-740.205942,919.314598
1290.462977,-9474.636058,-370.102971,1378.971896
1290.463298,-9844.739029,-518.144159,1608.800546
1290.463619,-9474.636058,-1110.308913,1225.752797
1290.463940,-8956.491898,-962.267725,1762.019645
1290.464261,-9474.636058,-1332.370696,306.438199
1290.464581,-9548.656652,-518.144159,842.705048
1290.464902,-9696.697840,-370.102971,1302.362347
1290.465223,-9474.636058,-518.144159,766.095498
1290.465544,-9548.656652,-666.185348,383.047749
1290.465864,-9474.636058,-370.102971,459.657299
1290.466185,-9844.739029,-666.185348,689.485948
1290.466506,-9474.636058,-592.164754,1455.581446
1290.466827,-10140.821405,-1184.329507,1302.362347
1290.467148,-9696.697840,-1184.329507,1532.190996
1290.467468,-9696.697840,-1332.370696,1532.190996
1290.467789,-9770.718434,-1110.308913,2298.286494
1290.468110,-9104.533087,-1258.350101,2451.505594
1290.468431,-9474.636058,-1406.391290,1991.848295
1290.468752,-9252.574275,-1110.308913,1838.629195
1290.469072,-9400.615463,-962.267725,1991.848295
1290.469393,-9844.739029,-1480.411884,2298.286494
1290.469714,-9548.656652,-888.247130,2451.505594
1290.470035,-9474.636058,-1110.308913,2374.896044
1290.470356,-9474.636058,-888.247130,3064.381992
1290.470676,-9696.697840,-962.267725,3217.601092
1290.470997,-9918.759623,-1406.391290,3753.867940
1290.471318,-10140.821405,-1184.329507,4213.525239
1290.471639,-10066.800811,-1258.350101,4366.744339
1290.471959,-9770.718434,-1480.411884,4596.572988
1290.472280,-9844.739029,-1628.453072,5745.716235
1290.472601,-9770.718434,-1776.494261,5362.668486
1290.472922,-9622.677246,-2146.597232,5132.839837
1290.473243,-9178.553681,-2146.597232,5286.058936
1290.473563,-9992.780217,-2146.597232,4596.572988
1290.473884,-9030.512492,-2368.659014,5439.278036
1290.474205,-9474.636058,-3478.967927,5669.106685
1290.474526,-9030.512492,-4071.132681,5209.449386
1290.474847,-9400.615463,-4367.215058,5132.839837
1290.475167,-9326.594869,-4367.215058,5286.058936
1290.475488,-9400.615463,-4441.235652,5132.839837
1290.475809,-9400.615463,-4071.132681,5132.839837
1290.476130,-9326.594869,-3923.091493,4826.401637
1290.476451,-9030.512492,-4293.194464,4749.792088
1290.476771,-9400.615463,-4589.276840,4213.525239
1290.477092,-9178.553681,-4515.256246,4136.915689
1290.477413,-9252.574275,-4589.276840,3677.258390
1290.477734,-9400.615463,-3997.112087,3370.820191
1290.478055,-9030.512492,-4885.359217,3447.429741
1290.478375,-8808.450710,-5255.462188,3447.429741
1290.478696,-8956.491898,-6143.709319,3064.381992
1290.479017,-8882.471304,-6513.812290,3217.601092
1290.479338,-9030.512492,-6513.812290,2451.505594
1290.479658,-9030.512492,-5921.647536,1838.629195
1290.479979,-9252.574275,-4219.173869,1378.971896
1290.480300,-9474.636058,-2664.741391,1225.752797
1290.480621,-9918.759623,-1850.514855,1149.143247
1290.480942,-9770.718434,-1480.411884,995.924147
1290.481262,-10140.821405,-1036.288319,1302.362347
1290.481583,-10658.965565,-1480.411884,2221.676944
1290.481904,-9844.739029,-2516.700203,4366.744339
1290.482225,-10288.862594,-3478.967927,3447.429741
1290.482546,-10066.800811,-5107.421000,3294.210641
1290.482866,-9474.636058,-5477.523971,3447.429741
1290.483187,-9622.677246,-5477.523971,3753.867940
1290.483508,-9696.697840,-4589.276840,4060.306139
1290.483829,-9474.636058,-4441.235652,3983.696590
1290.484150,-9400.615463,-4293.194464,3677.258390
1290.484470,-9178.553681,-3849.070898,2451.505594
1290.484791,-9474.636058,-3182.885551,2145.067394
1290.485112,-9474.636058,-2146.597232,689.485948
1290.485433,-9474.636058,-222.061783,459.657299
1290.485753,-10288.862594,1850.514855,612.876398
1290.486074,-9400.615463,1924.535449,3064.381992
1290.486395,-10510.924376,2368.659014,1762.019645
1290.486716,-10955.047942,814.226536,2451.505594
1290.487037,-11103.089130,-1036.288319,3524.039291
1290.487357,-10510.924376,-2886.803174,4060.306139
1290.487678,-9474.636058,-4145.153275,4979.620737
1290.487999,-8956.491898,-4737.318029,4749.792088
1290.488320,-8290.306550,-4959.379811,5975.544884
1290.488641,-9104.533087,-5403.503377,6052.154434
1290.488961,-7994.224174,-5403.503377,5286.058936
1290.489282,-7698.141797,-5625.565159,2834.553343
1290.489603,-7846.182985,-2664.741391,2681.334243
1290.489924,-7772.162391,0.000000,1991.848295
1290.490245,-9548.656652,2368.659014,2911.162892
1290.490565,-9696.697840,3701.029710,3370.820191
1290.490886,-10955.047942,2220.617826,2604.724693
1290.491207,-9400.615463,1036.288319,3140.991542
1290.491528,-11695.253884,-222.061783,3447.429741
1290.491849,-9844.739029,-222.061783,4979.620737
1290.492169,-10658.965565,-1850.514855,4903.011187
1290.492490,-9178.553681,-2812.782580,5362.668486
1290.492811,-8142.265362,-5625.565159,3753.867940
1290.493132,-8142.265362,-6957.935855,3294.210641
1290.493452,-7994.224174,-5847.626942,3217.601092
1290.493773,-8364.327145,-3627.009116,3294.210641
1290.494094,-9326.594869,-1628.453072,4366.744339
1290.494415,-8660.409521,-1406.391290,3217.601092
1290.494736,-9030.512492,-148.041188,2604.724693
1290.495056,-10807.006753,0.000000,2604.724693
1290.495377,-10584.944971,666.185348,3217.601092
1290.495698,-11029.068536,-444.123565,1915.238745
1290.496019,-10140.821405,-2146.597232,1685.410096
1290.496340,-9474.636058,-2368.659014,229.828649
1290.496660,-9992.780217,-1998.556043,76.609550
1290.496981,-10214.842000,-592.164754,1991.848295
1290.497302,-10066.800811,-592.164754,2987.772442
1290.497623,-10288.862594,-1924.535449,3140.991542
1290.497944,-10066.800811,-3849.070898,2834.553343
1290.498264,-9844.739029,-4441.235652,3370.820191
1290.498585,-9992.780217,-5181.441594,4903.011187
1290.498906,-9326.594869,-5699.585753,4136.915689
1290.499227,-8882.471304,-5773.606348,2451.505594
1290.499547,-8956.491898,-4071.132681,919.314598
