#time,accel_x,accel_y,accel_z
1279.242373,-9696.697840,0.000000,1149.143247
1279.242694,-9474.636058,-296.082377,1149.143247
1279.243014,-9622.677246,-148.041188,1149.143247
1279.243335,-9252.574275,-518.144159,766.095498
1279.243656,-9474.636058,-296.082377,1072.533697
1279.243976,-9474.636058,-370.102971,1149.143247
1279.244297,-9548.656652,-444.123565,919.314598
1279.244618,-9696.697840,0.000000,2834.553343
1279.244938,-9696.697840,-370.102971,1225.752797
1279.245259,-9622.677246,-370.102971,1225.752797
1279.245579,-9548.656652,-296.082377,1072.533697
1279.245900,-9622.677246,-370.102971,1378.971896
1279.246221,-9622.677246,-296.082377,995.924147
1279.246541,-9696.697840,0.000000,1072.533697
1279.246862,-9770.718434,-296.082377,1225.752797
1279.247183,-9474.636058,-518.144159,1072.533697
1279.247503,-9548.656652,-518.144159,919.314598
1279.247824,-9548.656652,-222.061783,1302.362347
1279.248145,-9844.739029,-666.185348,1762.019645
1279.248465,-9548.656652,-1036.288319,1149.143247
1279.248786,-9030.512492,-1332.370696,2451.505594
1279.249107,-9622.677246,-592.164754,689.485948
1279.249427,-9548.656652,-222.061783,1225.752797
1279.249748,-9770.718434,-296.082377,1302.362347
1279.250068,-9696.697840,-296.082377,1225.752797
1279.250389,-9474.636058,-740.205942,229.828649
1279.250710,-9622.677246,-518.144159,612.876398
1279.251030,-9844.739029,-592.164754,995.924147
1279.251351,-9622.677246,-740.205942,1225.752797
1279.251672,-9622.677246,-1110.308913,1608.800546
1279.251992,-9474.636058,-1554.432478,1302.362347
1279.252313,-9548.656652,-1258.350101,1455.581446
1279.252634,-9622.677246,-1258.350101,2145.067394
1279.252954,-9104.533087,-1480.411884,3524.039291
1279.253275,-9622.677246,-1184.329507,1915.238745
1279.253595,-9548.656652,-1110.308913,1915.238745
1279.253916,-9474.636058,-1110.308913,1915.238745
1279.254237,-9548.656652,-1036.288319,3600.648841
1279.254557,-9770.718434,-1036.288319,2145.067394
1279.254878,-9696.697840,-1110.308913,2374.896044
1279.255199,-9696.697840,-888.247130,2681.334243
1279.255519,-9622.677246,-1036.288319,3294.210641
1279.255840,-9622.677246,-1332.370696,3370.820191
1279.256161,-9844.739029,-1184.329507,3830.477490
1279.256481,-9770.718434,-2146.597232,4366.744339
1279.256802,-9548.656652,-2442.679609,4519.963438
1279.257122,-9474.636058,-3034.844362,5898.935335
1279.257443,-9252.574275,-3256.906145,5286.058936
1279.257764,-9474.636058,-3478.967927,5592.497135
1279.258084,-9178.553681,-3478.967927,5592.497135
1279.258405,-9104.533087,-3627.009116,5975.544884
1279.258726,-8882.471304,-3849.070898,5975.544884
1279.259046,-9252.574275,-4367.215058,5898.935335
1279.259367,-9178.553681,-4737.318029,5898.935335
1279.259688,-9400.615463,-5033.400406,5822.325785
1279.260008,-9178.553681,-4737.318029,5745.716235
1279.260329,-9252.574275,-4811.338623,5515.887586
1279.260649,-8956.491898,-4737.318029,5209.449386
1279.260970,-9252.574275,-4145.153275,4979.620737
1279.261291,-9696.697840,-3034.844362,4673.182538
1279.261611,-9474.636058,-3775.050304,4903.011187
1279.261932,-9474.636058,-4145.153275,4213.525239
1279.262253,-9548.656652,-4145.153275,4136.915689
