#time,accel_x,accel_y,accel_z
1370.385372,-9400.615463,-296.082377,1149.143247
1370.385693,-9770.718434,-296.082377,1149.143247
1370.386014,-9622.677246,0.000000,995.924147
1370.386334,-9548.656652,-370.102971,1225.752797
1370.386655,-8882.471304,-888.247130,995.924147
1370.386976,-9474.636058,-444.123565,612.876398
1370.387296,-9548.656652,-296.082377,1149.143247
1370.387617,-9696.697840,-148.041188,919.314598
1370.387938,-9548.656652,-296.082377,2451.505594
1370.388258,-9548.656652,-148.041188,1072.533697
1370.388579,-9474.636058,-518.144159,1149.143247
1370.388900,-9770.718434,-222.061783,995.924147
1370.389221,-9548.656652,-296.082377,1225.752797
1370.389541,-9474.636058,-370.102971,995.924147
1370.389862,-9548.656652,-740.205942,919.314598
1370.390183,-9548.656652,-370.102971,1225.752797
1370.390503,-9992.780217,-518.144159,1302.362347
1370.390824,-9770.718434,-148.041188,1455.581446
1370.391145,-9474.636058,-296.082377,1302.362347
1370.391465,-9622.677246,-444.123565,842.705048
1370.391786,-9622.677246,-222.061783,919.314598
1370.392107,-8364.327145,-666.185348,766.095498
1370.392428,-9770.718434,0.000000,1455.581446
1370.392748,-9696.697840,-444.123565,1378.971896
1370.393069,-9548.656652,-962.267725,1378.971896
1370.393390,-9474.636058,-740.205942,995.924147
1370.393710,-9918.759623,-444.123565,1302.362347
1370.394031,-9548.656652,-592.164754,1378.971896
1370.394352,-9548.656652,-814.226536,1302.362347
1370.394672,-9474.636058,-888.247130,1149.143247
1370.394993,-9548.656652,-592.164754,1762.019645
1370.395314,-9770.718434,-444.123565,1302.362347
1370.395635,-9548.656652,-370.102971,1149.143247
1370.395955,-9474.636058,-888.247130,383.047749
1370.396276,-9474.636058,-444.123565,383.047749
1370.396597,-9474.636058,-592.164754,842.705048
1370.396917,-9548.656652,-592.164754,1225.752797
1370.397238,-9770.718434,-888.247130,1532.190996
1370.397559,-9474.636058,-1258.350101,1302.362347
1370.397879,-9770.718434,-1332.370696,1455.581446
1370.398200,-9918.759623,-1110.308913,1762.019645
1370.398521,-9770.718434,-1332.370696,2374.896044
1370.398841,-9474.636058,-1406.391290,2451.505594
1370.399162,-9770.718434,-1406.391290,1685.410096
1370.399483,-9400.615463,-1036.288319,1762.019645
1370.399804,-9326.594869,-1184.329507,2068.457845
1370.400124,-9622.677246,-962.267725,2221.676944
