#time,accel_x,accel_y,accel_z
1314.122243,-9474.636058,-222.061783,1455.581446
1314.122564,-9622.677246,-370.102971,1149.143247
1314.122885,-9474.636058,-370.102971,1455.581446
1314.123206,-9770.718434,-370.102971,919.314598
1314.123527,-9548.656652,-518.144159,1378.971896
1314.123848,-9474.636058,-296.082377,1149.143247
1314.124169,-9548.656652,-444.123565,995.924147
1314.124490,-9548.656652,-296.082377,1072.533697
1314.124811,-9992.780217,0.000000,842.705048
1314.125132,-9696.697840,0.000000,1302.362347
1314.125453,-9770.718434,-370.102971,1532.190996
1314.125774,-9622.677246,-814.226536,1532.190996
1314.126095,-9252.574275,-740.205942,766.095498
1314.126416,-9844.739029,-740.205942,1532.190996
1314.126737,-9474.636058,-666.185348,1302.362347
1314.127058,-9622.677246,-1110.308913,1149.143247
1314.127379,-9400.615463,-1036.288319,306.438199
1314.127700,-9474.636058,-888.247130,842.705048
1314.128021,-9770.718434,-592.164754,1302.362347
1314.128343,-9622.677246,-370.102971,995.924147
1314.128664,-9622.677246,-666.185348,995.924147
1314.128985,-9474.636058,-370.102971,919.314598
1314.129306,-9474.636058,-592.164754,612.876398
1314.129627,-9548.656652,-592.164754,1072.533697
1314.129948,-9844.739029,-1036.288319,1762.019645
1314.130269,-9548.656652,-666.185348,1685.410096
1314.130590,-9548.656652,-1406.391290,1455.581446
1314.130911,-9770.718434,-1406.391290,1685.410096
1314.131232,-9918.759623,-1332.370696,2298.286494
1314.131553,-9696.697840,-1628.453072,1915.238745
1314.131874,-9474.636058,-1628.453072,1838.629195
1314.132195,-9400.615463,-1554.432478,2145.067394
1314.132516,-9400.615463,-1628.453072,2145.067394
1314.132837,-9474.636058,-1850.514855,2298.286494
1314.133158,-9474.636058,-1628.453072,2681.334243
1314.133479,-9548.656652,-1554.432478,2757.943793
1314.133800,-9474.636058,-1776.494261,3140.991542
1314.134121,-9918.759623,-2146.597232,3524.039291
1314.134443,-9548.656652,-2368.659014,3524.039291
1314.134764,-9400.615463,-2960.823768,4443.353888
1314.135085,-9474.636058,-3330.926739,4443.353888
1314.135406,-9474.636058,-3627.009116,4903.011187
1314.135727,-9474.636058,-3552.988522,5056.230287
1314.136048,-9326.594869,-4219.173869,5745.716235
1314.136369,-9400.615463,-4219.173869,5669.106685
1314.136690,-8956.491898,-4515.256246,5822.325785
1314.137011,-8956.491898,-4515.256246,5898.935335
1314.137332,-9030.512492,-4515.256246,6971.469032
1314.137653,-9400.615463,-4293.194464,5898.935335
1314.137974,-9178.553681,-4515.256246,5822.325785
1314.138295,-9400.615463,-3923.091493,5515.887586
1314.138616,-9104.533087,-3478.967927,3830.477490
1314.138937,-9326.594869,-4071.132681,5056.230287
1314.139258,-9474.636058,-3849.070898,4749.792088
1314.139579,-9474.636058,-3478.967927,4443.353888
1314.139900,-9770.718434,-2960.823768,4366.744339
1314.140221,-10066.800811,-2516.700203,3983.696590
1314.140543,-10066.800811,-2812.782580,4213.525239
1314.140864,-9844.739029,-2590.720797,3907.087040
1314.141185,-9918.759623,-3108.864956,3907.087040
1314.141506,-10214.842000,-2886.803174,3524.039291
1314.141827,-9696.697840,-4145.153275,3524.039291
1314.142148,-9548.656652,-4885.359217,3524.039291
1314.142469,-9474.636058,-5403.503377,2451.505594
1314.142790,-9918.759623,-4737.318029,995.924147
