#time,accel_x,accel_y,accel_z
1177.838168,-9326.594869,-3701.029710,2834.553343
1177.838489,-8808.450710,-4071.132681,2528.115143
1177.838809,-9104.533087,-3701.029710,2604.724693
1177.839130,-8956.491898,-3997.112087,2451.505594
1177.839451,-8142.265362,-2664.741391,1378.971896
1177.839772,-9178.553681,-1406.391290,1072.533697
1177.840093,-9252.574275,222.061783,1378.971896
1177.840414,-9992.780217,888.247130,1455.581446
1177.840735,-10214.842000,1406.391290,1838.629195
1177.841056,-10288.862594,1110.308913,1149.143247
1177.841377,-10510.924376,592.164754,1762.019645
1177.841698,-10807.006753,0.000000,2451.505594
1177.842019,-9844.739029,-962.267725,2451.505594
1177.842340,-9844.739029,-1554.432478,1915.238745
1177.842661,-9104.533087,-2220.617826,2068.457845
1177.842982,-8956.491898,-2812.782580,1838.629195
1177.843303,-9326.594869,-2738.761985,2298.286494
1177.843624,-8882.471304,-2516.700203,1915.238745
1177.843944,-9178.553681,-2220.617826,1915.238745
1177.844265,-9548.656652,-1480.411884,1991.848295
1177.844586,-9844.739029,-962.267725,2451.505594
1177.844907,-9770.718434,-592.164754,2451.505594
1177.845228,-10140.821405,0.000000,2451.505594
1177.845549,-10214.842000,370.102971,2604.724693
1177.845870,-10066.800811,148.041188,2911.162892
1177.846191,-9770.718434,-592.164754,2911.162892
1177.846512,-9844.739029,-888.247130,3370.820191
1177.846833,-9696.697840,-1554.432478,3524.039291
1177.847154,-9548.656652,-2516.700203,4519.963438
1177.847475,-9548.656652,-3997.112087,4519.963438
1177.847796,-9252.574275,-4663.297435,5515.887586
1177.848117,-9030.512492,-4737.318029,5745.716235
1177.848438,-8956.491898,-4959.379811,5975.544884
1177.848758,-8586.388927,-4811.338623,5898.935335
1177.849079,-8512.368333,-5033.400406,5822.325785
1177.849400,-8512.368333,-4811.338623,5592.497135
1177.849721,-8660.409521,-4737.318029,5209.449386
1177.850042,-9030.512492,-4737.318029,5132.839837
1177.850363,-8512.368333,-4885.359217,5362.668486
1177.850684,-9400.615463,-4515.256246,4749.792088
1177.851005,-9178.553681,-4811.338623,4749.792088
1177.851326,-9252.574275,-5107.421000,4366.744339
1177.851647,-8808.450710,-4589.276840,4979.620737
1177.851968,-9252.574275,-5477.523971,3524.039291
1177.852289,-9326.594869,-5625.565159,3064.381992
1177.852610,-9326.594869,-5181.441594,2604.724693
1177.852931,-9178.553681,-4737.318029,2298.286494
1177.853252,-9326.594869,-3775.050304,2145.067394
1177.853573,-9622.677246,-3108.864956,1455.581446
1177.853893,-9770.718434,-2516.700203,1532.190996
1177.854214,-10066.800811,-1850.514855,1991.848295
1177.854535,-10436.903782,-1628.453072,2451.505594
1177.854856,-10732.986159,-1850.514855,3140.991542
1177.855177,-10732.986159,-2812.782580,2834.553343
1177.855498,-10362.883188,-3330.926739,2834.553343
1177.855819,-9474.636058,-2738.761985,4060.306139
1177.856140,-9844.739029,-3330.926739,1532.190996
1177.856461,-9622.677246,-2516.700203,1072.533697
1177.856782,-9622.677246,-1924.535449,153.219100
1177.857103,-9474.636058,-666.185348,-689.485948
1177.857424,-10214.842000,-296.082377,-689.485948
1177.857745,-10288.862594,370.102971,-306.438199
1177.858066,-10584.944971,370.102971,-842.705048
1177.858387,-10658.965565,666.185348,-689.485948
1177.858708,-10732.986159,296.082377,-306.438199
1177.859028,-10214.842000,296.082377,-995.924147
1177.859349,-10066.800811,148.041188,-1302.362347
1177.859670,-9474.636058,444.123565,-1991.848295
1177.859991,-9918.759623,1628.453072,-2834.553343
1177.860312,-9400.615463,1036.288319,-1762.019645
1177.860633,-9326.594869,1628.453072,-995.924147
1177.860954,-9992.780217,1776.494261,-229.828649
1177.861275,-9548.656652,1702.473667,612.876398
1177.861596,-9548.656652,814.226536,919.314598
1177.861917,-9474.636058,148.041188,1915.238745
1177.862238,-9326.594869,-370.102971,2298.286494
1177.862559,-8882.471304,-592.164754,2145.067394
1177.862880,-8216.285956,-592.164754,2451.505594
1177.863201,-7920.203579,148.041188,1838.629195
1177.863522,-8068.244768,888.247130,1378.971896
1177.863842,-8364.327145,2146.597232,2145.067394
1177.864163,-8512.368333,2220.617826,3447.429741
1177.864484,-9104.533087,2516.700203,2451.505594
1177.864804,-9474.636058,2368.659014,2451.505594
1177.865125,-9548.656652,1776.494261,2604.724693
1177.865446,-9844.739029,1406.391290,2298.286494
1177.865767,-9548.656652,1702.473667,1532.190996
1177.866087,-9770.718434,2368.659014,1532.190996
1177.866408,-9844.739029,2146.597232,1378.971896
1177.866729,-10066.800811,2442.679609,1685.410096
1177.867049,-9918.759623,2146.597232,1915.238745
1177.867370,-10140.821405,1776.494261,1608.800546
1177.867691,-10140.821405,1554.432478,1838.629195
1177.868011,-10066.800811,592.164754,2145.067394
1177.868332,-10436.903782,0.000000,3140.991542
1177.868653,-9918.759623,-740.205942,2528.115143
1177.868974,-9474.636058,-1036.288319,1762.019645
1177.869294,-9326.594869,-1184.329507,1149.143247
1177.869615,-9474.636058,-666.185348,1072.533697
1177.869936,-9400.615463,-518.144159,1225.752797
1177.870256,-9770.718434,-296.082377,1455.581446
1177.870577,-10214.842000,-814.226536,1455.581446
1177.870898,-10214.842000,-592.164754,1225.752797
1177.871219,-9918.759623,-888.247130,1685.410096
1177.871539,-10362.883188,-1110.308913,1608.800546
1177.871860,-9918.759623,-1110.308913,919.314598
1177.872181,-9548.656652,-1332.370696,0.000000
1177.872501,-8438.347739,-296.082377,76.609550
1177.872822,-9030.512492,-888.247130,-1149.143247
1177.873143,-9030.512492,-740.205942,-766.095498
1177.873464,-9326.594869,-666.185348,-919.314598
1177.873784,-9548.656652,-962.267725,-229.828649
1177.874105,-9696.697840,-1628.453072,0.000000
1177.874426,-9992.780217,-1924.535449,919.314598
1177.874746,-10140.821405,-2664.741391,1455.581446
1177.875067,-9696.697840,-3182.885551,1838.629195
1177.875388,-9400.615463,-3182.885551,1532.190996
1177.875708,-8882.471304,-4293.194464,1302.362347
1177.876029,-8438.347739,-4071.132681,1149.143247
1177.876350,-8290.306550,-3478.967927,919.314598
1177.876671,-9030.512492,-2516.700203,459.657299
1177.876991,-8882.471304,-2146.597232,1225.752797
1177.877312,-9104.533087,-1776.494261,919.314598
1177.877633,-9474.636058,-1702.473667,1225.752797
1177.877953,-9770.718434,-1110.308913,1915.238745
1177.878274,-10066.800811,-814.226536,1838.629195
1177.878595,-10066.800811,-962.267725,1455.581446
1177.878916,-9622.677246,-370.102971,689.485948
1177.879236,-9548.656652,-74.020594,229.828649
1177.879557,-9252.574275,0.000000,153.219100
1177.879878,-9696.697840,518.144159,536.266849
1177.880198,-10066.800811,518.144159,842.705048
1177.880519,-9844.739029,666.185348,766.095498
1177.880840,-10732.986159,740.205942,2145.067394
1177.881161,-10732.986159,0.000000,3294.210641
1177.881481,-10510.924376,-1036.288319,3294.210641
1177.881802,-9770.718434,-1332.370696,3140.991542
1177.882123,-9400.615463,-1332.370696,2145.067394
1177.882443,-9178.553681,-740.205942,1915.238745
1177.882764,-9104.533087,222.061783,1302.362347
1177.883085,-9178.553681,1110.308913,919.314598
1177.883406,-9400.615463,1702.473667,766.095498
1177.883726,-9696.697840,1258.350101,1302.362347
1177.884047,-10140.821405,888.247130,1149.143247
1177.884368,-10510.924376,962.267725,1455.581446
1177.884688,-10510.924376,1258.350101,1455.581446
1177.885009,-10288.862594,370.102971,1149.143247
1177.885330,-9622.677246,1036.288319,612.876398
1177.885650,-9474.636058,1406.391290,-536.266849
1177.885971,-9252.574275,1776.494261,-536.266849
