#time,accel_x,accel_y,accel_z
873.308236,-9622.677246,-2146.597232,76.609550
873.308557,-9474.636058,-2146.597232,0.000000
873.308878,-9400.615463,-1480.411884,229.828649
873.309198,-9326.594869,-1258.350101,536.266849
873.309519,-9400.615463,-962.267725,919.314598
873.309839,-9844.739029,-518.144159,536.266849
873.310160,-9770.718434,-74.020594,612.876398
873.310481,-9844.739029,0.000000,536.266849
873.310801,-9770.718434,0.000000,1608.800546
873.311122,-10214.842000,-592.164754,766.095498
873.311443,-10066.800811,-592.164754,536.266849
873.311763,-9992.780217,-370.102971,995.924147
873.312084,-10214.842000,-370.102971,76.609550
873.312405,-9696.697840,-814.226536,1072.533697
873.312725,-9844.739029,-1184.329507,1149.143247
873.313046,-9474.636058,-1480.411884,612.876398
873.313367,-9252.574275,-1480.411884,612.876398
873.313687,-9030.512492,-1702.473667,1225.752797
873.314008,-9178.553681,-1480.411884,766.095498
873.314329,-9178.553681,-2072.576638,919.314598
873.314649,-9400.615463,-1850.514855,306.438199
873.314970,-9326.594869,-1184.329507,0.000000
873.315291,-9474.636058,-1332.370696,0.000000
873.315611,-9696.697840,-1258.350101,0.000000
873.315932,-9622.677246,-888.247130,-995.924147
873.316252,-8586.388927,-814.226536,-919.314598
873.316573,-9548.656652,-222.061783,-1915.238745
873.316894,-9474.636058,-592.164754,-2604.724693
873.317214,-9622.677246,-518.144159,-3064.381992
873.317535,-9326.594869,-740.205942,-3677.258390
873.317856,-9030.512492,-1850.514855,-4519.963438
873.318176,-9030.512492,-2590.720797,-4903.011187
873.318497,-9252.574275,-3478.967927,-5056.230287
873.318818,-9326.594869,-4071.132681,-5592.497135
873.319138,-9474.636058,-4145.153275,-5515.887586
873.319459,-9474.636058,-4219.173869,-5822.325785
873.319780,-9400.615463,-4293.194464,-4979.620737
873.320100,-9548.656652,-4663.297435,-4979.620737
873.320421,-9548.656652,-5181.441594,-2604.724693
873.320742,-9622.677246,-5033.400406,-4366.744339
873.321062,-9474.636058,-5625.565159,-4290.134789
873.321383,-9622.677246,-5329.482782,-3983.696590
873.321704,-9030.512492,-5033.400406,-3524.039291
873.322024,-9030.512492,-4737.318029,-3217.601092
873.322345,-8660.409521,-4737.318029,-3370.820191
873.322665,-8882.471304,-4737.318029,-3140.991542
873.322986,-9326.594869,-4589.276840,-2451.505594
873.323307,-9474.636058,-4589.276840,-1915.238745
873.323627,-9622.677246,-4441.235652,-1149.143247
873.323948,-9844.739029,-4145.153275,0.000000
873.324269,-10066.800811,-3775.050304,1378.971896
873.324589,-10436.903782,-3404.947333,1455.581446
873.324910,-10288.862594,-3923.091493,2451.505594
873.325231,-10288.862594,-4145.153275,1915.238745
873.325551,-9622.677246,-4441.235652,1302.362347
873.325872,-9474.636058,-4737.318029,536.266849
873.326193,-9178.553681,-5181.441594,76.609550
873.326513,-9030.512492,-5255.462188,-459.657299
873.326834,-9030.512492,-5181.441594,-689.485948
873.327155,-9326.594869,-5033.400406,-536.266849
873.327475,-9992.780217,-4811.338623,0.000000
873.327796,-10066.800811,-4367.215058,689.485948
873.328117,-10436.903782,-4219.173869,766.095498
873.328437,-10436.903782,-4219.173869,1225.752797
873.328758,-10140.821405,-4071.132681,459.657299
873.329078,-10288.862594,-3923.091493,2298.286494
873.329399,-10140.821405,-3404.947333,2911.162892
873.329720,-9844.739029,-2664.741391,2681.334243
873.330040,-9696.697840,-1924.535449,2451.505594
873.330361,-9252.574275,-1110.308913,1225.752797
873.330682,-9030.512492,-888.247130,229.828649
873.331002,-8438.347739,-1406.391290,-1072.533697
873.331323,-7846.182985,-2072.576638,-2374.896044
873.331644,-8734.430116,-2886.803174,-3370.820191
873.331964,-8882.471304,-2960.823768,-3370.820191
873.332285,-9770.718434,-3108.864956,-3447.429741
873.332606,-10584.944971,-1850.514855,-3294.210641
873.332927,-9918.759623,-888.247130,-3677.258390
873.333247,-11029.068536,1406.391290,-2451.505594
873.333568,-11103.089130,2960.823768,-1149.143247
873.333889,-10807.006753,3404.947333,0.000000
873.334210,-11251.130318,1702.473667,-153.219100
873.334530,-9548.656652,222.061783,-1225.752797
873.334851,-8068.244768,-962.267725,-2911.162892
873.335172,-7772.162391,-962.267725,-3064.381992
873.335493,-7254.018232,0.000000,-3294.210641
873.335813,-7846.182985,444.123565,-3907.087040
873.336134,-7846.182985,740.205942,-4519.963438
873.336455,-8956.491898,296.082377,-4596.572988
873.336776,-9844.739029,-444.123565,-3600.648841
873.337096,-10214.842000,-740.205942,-229.828649
873.337417,-11769.274478,-592.164754,0.000000
873.337738,-11621.233289,-814.226536,1225.752797
873.338059,-11991.336260,-1628.453072,1302.362347
873.338379,-10881.027347,-1776.494261,-459.657299
873.338700,-9326.594869,-444.123565,-1532.190996
873.339021,-8512.368333,1702.473667,-1608.800546
873.339342,-7994.224174,2220.617826,-536.266849
873.339662,-8142.265362,1406.391290,-919.314598
873.339983,-7846.182985,740.205942,-995.924147
873.340304,-8808.450710,74.020594,0.000000
873.340625,-9844.739029,-222.061783,2451.505594
873.340945,-10881.027347,-444.123565,4903.011187
873.341266,-10807.006753,-1110.308913,5286.058936
873.341587,-11843.295072,-740.205942,6358.592633
873.341908,-11177.109724,-888.247130,5286.058936
873.342228,-9844.739029,-1036.288319,4136.915689
873.342549,-9104.533087,-888.247130,2757.943793
873.342870,-8734.430116,-1258.350101,1455.581446
873.343191,-7402.059420,-1036.288319,0.000000
873.343511,-7772.162391,-962.267725,-383.047749
873.343832,-8216.285956,222.061783,1302.362347
873.344153,-9696.697840,1332.370696,4596.572988
873.344474,-11029.068536,296.082377,6205.373534
873.344794,-11399.171507,-1110.308913,6128.763984
873.345115,-10288.862594,-2886.803174,4903.011187
873.345436,-10140.821405,-3034.844362,2987.772442
873.345757,-9548.656652,-3330.926739,2834.553343
873.346077,-9326.594869,-2886.803174,2145.067394
873.346398,-8364.327145,-2664.741391,-306.438199
873.346719,-7476.080014,-2368.659014,-2221.676944
873.347040,-8660.409521,-2664.741391,-3447.429741
873.347360,-9104.533087,-1332.370696,-2145.067394
873.347681,-10510.924376,0.000000,0.000000
873.348002,-10436.903782,0.000000,766.095498
873.348323,-9696.697840,-296.082377,229.828649
873.348643,-9992.780217,-1258.350101,536.266849
873.348964,-10066.800811,-1406.391290,383.047749
873.349285,-9770.718434,-740.205942,995.924147
873.349606,-9178.553681,-1184.329507,0.000000
873.349926,-8290.306550,-370.102971,-2145.067394
873.350247,-8660.409521,0.000000,-2681.334243
873.350568,-8808.450710,666.185348,-1838.629195
873.350889,-9326.594869,592.164754,76.609550
873.351209,-9622.677246,0.000000,842.705048
873.351530,-9992.780217,-1110.308913,-1149.143247
873.351851,-9770.718434,-740.205942,-1838.629195
873.352172,-9622.677246,1110.308913,-536.266849
873.352492,-10288.862594,592.164754,-1072.533697
873.352813,-8216.285956,1924.535449,-229.828649
873.353134,-9918.759623,-740.205942,-1532.190996
873.353455,-8512.368333,-148.041188,-1302.362347
873.353776,-9474.636058,-370.102971,-459.657299
873.354096,-10955.047942,740.205942,3217.601092
873.354417,-10955.047942,814.226536,4519.963438
873.354738,-11325.150913,-296.082377,4290.134789
873.355059,-9992.780217,-74.020594,3830.477490
873.355379,-9622.677246,-1036.288319,3677.258390
873.355700,-9844.739029,-592.164754,2681.334243
873.356021,-8882.471304,370.102971,2221.676944
873.356342,-8512.368333,-592.164754,0.000000
873.356662,-8290.306550,0.000000,-306.438199
873.356983,-8586.388927,0.000000,-306.438199
873.357304,-9622.677246,740.205942,2145.067394
873.357625,-10807.006753,666.185348,4596.572988
873.357945,-11251.130318,0.000000,5056.230287
873.358266,-10436.903782,-592.164754,4213.525239
873.358587,-10288.862594,-444.123565,2911.162892
873.358908,-9474.636058,740.205942,3907.087040
873.359228,-9326.594869,296.082377,4136.915689
873.359549,-9326.594869,222.061783,2451.505594
873.359870,-8290.306550,-1110.308913,306.438199
873.360191,-8290.306550,-1110.308913,-383.047749
873.360511,-9252.574275,148.041188,1378.971896
873.360832,-10288.862594,1332.370696,2681.334243
873.361153,-10288.862594,1850.514855,3677.258390
873.361474,-10214.842000,1110.308913,3217.601092
873.361794,-10140.821405,0.000000,1915.238745
873.362115,-10214.842000,148.041188,1838.629195
873.362436,-10732.986159,962.267725,2374.896044
873.362757,-9770.718434,666.185348,842.705048
873.363077,-8512.368333,0.000000,-1378.971896
873.363398,-9030.512492,0.000000,-2221.676944
873.363719,-8586.388927,2072.576638,0.000000
873.364040,-9918.759623,0.000000,383.047749
873.364360,-10584.944971,148.041188,2451.505594
873.364681,-10066.800811,-962.267725,383.047749
873.365002,-9992.780217,-814.226536,0.000000
873.365323,-10362.883188,0.000000,0.000000
873.365643,-9844.739029,370.102971,76.609550
873.365964,-9770.718434,-370.102971,-306.438199
873.366285,-9104.533087,-1110.308913,-1762.019645
873.366606,-8512.368333,-2294.638420,-2834.553343
873.366926,-9696.697840,-1998.556043,-1608.800546
873.367247,-10140.821405,-814.226536,229.828649
873.367568,-10584.944971,-222.061783,919.314598
873.367889,-9844.739029,0.000000,229.828649
873.368209,-8882.471304,-666.185348,0.000000
873.368530,-8956.491898,-666.185348,-229.828649
873.368851,-9326.594869,0.000000,995.924147
873.369172,-9400.615463,-592.164754,689.485948
873.369492,-8734.430116,-1406.391290,306.438199
873.369813,-9104.533087,-2368.659014,-306.438199
873.370134,-8956.491898,-1850.514855,536.266849
873.370455,-9918.759623,-1406.391290,2145.067394
873.370775,-10732.986159,-592.164754,3677.258390
873.371096,-10362.883188,-814.226536,3907.087040
873.371417,-10140.821405,-1850.514855,2451.505594
873.371738,-9622.677246,-1998.556043,1532.190996
873.372058,-8808.450710,-1480.411884,2145.067394
873.372379,-9178.553681,-666.185348,1455.581446
873.372700,-8882.471304,-888.247130,995.924147
873.373021,-8364.327145,-1332.370696,-536.266849
873.373341,-8956.491898,-1110.308913,76.609550
873.373662,-10140.821405,-592.164754,1915.238745
873.373983,-10732.986159,-370.102971,3907.087040
873.374304,-11177.109724,-814.226536,4519.963438
873.374624,-10288.862594,-1110.308913,4136.915689
873.374945,-9474.636058,-1554.432478,2604.724693
873.375266,-9400.615463,-888.247130,2221.676944
873.375587,-8956.491898,-222.061783,2145.067394
873.375907,-9104.533087,-592.164754,1455.581446
873.376228,-8438.347739,-1480.411884,-383.047749
873.376549,-8734.430116,-1850.514855,-1838.629195
873.376870,-9474.636058,-814.226536,-306.438199
873.377190,-10584.944971,222.061783,1915.238745
873.377511,-11547.212695,1258.350101,2451.505594
873.377832,-11399.171507,222.061783,2604.724693
873.378153,-10732.986159,-370.102971,1072.533697
873.378473,-10288.862594,296.082377,766.095498
873.378794,-9770.718434,666.185348,689.485948
873.379115,-9400.615463,814.226536,306.438199
873.379436,-8586.388927,444.123565,-1302.362347
873.379756,-8142.265362,0.000000,-2987.772442
873.380077,-8586.388927,814.226536,-2145.067394
873.380398,-9844.739029,962.267725,459.657299
873.380719,-10807.006753,1110.308913,2068.457845
873.381039,-11325.150913,1036.288319,2451.505594
873.381360,-10362.883188,444.123565,1608.800546
873.381681,-9326.594869,148.041188,1991.848295
873.382002,-9548.656652,370.102971,1378.971896
873.382322,-9474.636058,0.000000,1072.533697
873.382643,-8586.388927,0.000000,-689.485948
873.382964,-7994.224174,-148.041188,-2451.505594
873.383285,-7994.224174,370.102971,-2451.505594
873.383605,-9178.553681,740.205942,306.438199
873.383926,-9696.697840,518.144159,2221.676944
873.384247,-9844.739029,-296.082377,2834.553343
873.384568,-9696.697840,-1406.391290,2145.067394
873.384888,-9474.636058,-1554.432478,1072.533697
873.385209,-9400.615463,0.000000,2068.457845
873.385530,-9918.759623,74.020594,2298.286494
873.385851,-9326.594869,-1036.288319,536.266849
873.386171,-7920.203579,-888.247130,-842.705048
873.386492,-8142.265362,-1332.370696,-1225.752797
873.386813,-9474.636058,-222.061783,383.047749
873.387134,-10955.047942,74.020594,3370.820191
873.387455,-10658.965565,0.000000,3907.087040
873.387775,-9770.718434,-444.123565,2987.772442
873.388096,-9992.780217,-666.185348,2451.505594
873.388417,-9474.636058,-370.102971,2834.553343
873.388738,-9622.677246,-518.144159,3294.210641
873.389058,-9548.656652,-518.144159,2145.067394
873.389379,-8364.327145,-1184.329507,229.828649
873.389700,-8882.471304,-1036.288319,-689.485948
873.390021,-9178.553681,222.061783,1532.190996
873.390341,-10881.027347,888.247130,3140.991542
873.390662,-11029.068536,222.061783,4443.353888
873.390983,-10436.903782,-1480.411884,2757.943793
873.391304,-10436.903782,-2072.576638,1378.971896
873.391624,-10140.821405,-1850.514855,995.924147
873.391945,-9548.656652,-518.144159,1072.533697
873.392266,-9474.636058,0.000000,919.314598
873.392587,-8660.409521,-518.144159,-536.266849
873.392907,-8364.327145,-962.267725,-1991.848295
873.393228,-9474.636058,-1480.411884,-1072.533697
873.393549,-9622.677246,-1406.391290,689.485948
873.393870,-10658.965565,-1036.288319,2374.896044
873.394190,-9844.739029,-148.041188,1532.190996
873.394511,-9770.718434,-1184.329507,1378.971896
873.394832,-9400.615463,-666.185348,1225.752797
873.395153,-9326.594869,-370.102971,1302.362347
873.395473,-8808.450710,0.000000,536.266849
873.395794,-8660.409521,-888.247130,-689.485948
873.396115,-8216.285956,-1110.308913,-2298.286494
873.396436,-8438.347739,-1184.329507,-2298.286494
873.396756,-9326.594869,0.000000,-153.219100
873.397077,-10362.883188,148.041188,2145.067394
873.397398,-10510.924376,0.000000,2528.115143
873.397719,-10658.965565,-1554.432478,1072.533697
873.398039,-9326.594869,-1184.329507,0.000000
873.398360,-9030.512492,592.164754,919.314598
873.398681,-9178.553681,1036.288319,689.485948
873.399002,-9474.636058,888.247130,-76.609550
873.399322,-8438.347739,222.061783,-1149.143247
873.399643,-8956.491898,-444.123565,-1378.971896
873.399964,-9622.677246,-370.102971,766.095498
873.400285,-11029.068536,74.020594,2528.115143
873.400605,-11103.089130,370.102971,3524.039291
