#time,accel_x,accel_y,accel_z
1348.694125,-9622.677246,-370.102971,919.314598
1348.694446,-8142.265362,-518.144159,2604.724693
1348.694767,-9548.656652,-444.123565,1378.971896
1348.695087,-9400.615463,-444.123565,1149.143247
1348.695408,-9548.656652,-296.082377,766.095498
1348.695729,-9696.697840,-222.061783,2528.115143
1348.696049,-9474.636058,-370.102971,919.314598
1348.696370,-9474.636058,-370.102971,1225.752797
1348.696691,-9548.656652,-370.102971,1072.533697
1348.697011,-9622.677246,-148.041188,1149.143247
1348.697332,-9622.677246,-296.082377,1149.143247
1348.697653,-9548.656652,-444.123565,1149.143247
1348.697973,-9548.656652,-518.144159,842.705048
1348.698294,-9548.656652,-222.061783,995.924147
1348.698615,-9326.594869,-592.164754,1149.143247
1348.698935,-9696.697840,0.000000,1302.362347
1348.699256,-9770.718434,-296.082377,1455.581446
1348.699577,-9770.718434,-666.185348,1225.752797
1348.699897,-9326.594869,-666.185348,1072.533697
1348.700218,-9252.574275,-296.082377,1072.533697
1348.700539,-9992.780217,-814.226536,1608.800546
1348.700859,-9622.677246,-666.185348,1302.362347
1348.701180,-9400.615463,-888.247130,1072.533697
1348.701501,-9474.636058,-962.267725,689.485948
1348.701821,-9474.636058,-592.164754,919.314598
1348.702142,-9548.656652,-666.185348,1302.362347
1348.702463,-9770.718434,-444.123565,995.924147
1348.702783,-8808.450710,-1628.453072,0.000000
1348.703104,-9474.636058,-370.102971,766.095498
1348.703425,-9696.697840,-740.205942,842.705048
1348.703745,-9770.718434,-518.144159,1455.581446
1348.704066,-9844.739029,-1036.288319,1072.533697
1348.704387,-9696.697840,-1406.391290,1378.971896
1348.704707,-9696.697840,-1036.288319,1302.362347
1348.705028,-9844.739029,-1480.411884,2451.505594
1348.705349,-9474.636058,-1184.329507,2068.457845
1348.705669,-9474.636058,-1554.432478,2298.286494
1348.705990,-9474.636058,-1184.329507,2145.067394
1348.706310,-9400.615463,-962.267725,2068.457845
1348.706631,-9548.656652,-1036.288319,1991.848295
1348.706952,-9326.594869,-518.144159,2451.505594
1348.707272,-9696.697840,-814.226536,1991.848295
1348.707593,-9622.677246,-962.267725,2604.724693
1348.707914,-9770.718434,-814.226536,2911.162892
1348.708234,-9992.780217,-1184.329507,3064.381992
