#time,accel_x,accel_y,accel_z
876.393686,-10140.821405,-2368.659014,-612.876398
876.394007,-10140.821405,-2146.597232,-689.485948
876.394328,-9844.739029,-1406.391290,-306.438199
876.394648,-10140.821405,-1184.329507,383.047749
876.394969,-10066.800811,-1258.350101,612.876398
876.395289,-9548.656652,-1406.391290,842.705048
876.395610,-9474.636058,-1258.350101,383.047749
876.395931,-9474.636058,0.000000,0.000000
876.396251,-8956.491898,-592.164754,766.095498
876.396572,-8956.491898,-518.144159,919.314598
876.396892,-9178.553681,-148.041188,612.876398
876.397213,-9696.697840,-814.226536,612.876398
876.397534,-9770.718434,-1036.288319,0.000000
876.397854,-10140.821405,-888.247130,76.609550
876.398175,-10436.903782,-296.082377,459.657299
876.398495,-10362.883188,0.000000,612.876398
876.398816,-9992.780217,-222.061783,612.876398
876.399136,-10214.842000,-814.226536,612.876398
876.399457,-9622.677246,-888.247130,459.657299
876.399778,-9474.636058,-1406.391290,76.609550
876.400098,-8956.491898,-962.267725,2068.457845
876.400419,-8882.471304,-1554.432478,0.000000
876.400739,-8660.409521,-1850.514855,-153.219100
876.401060,-9030.512492,-2220.617826,-459.657299
876.401381,-9104.533087,-2368.659014,-766.095498
876.401701,-8808.450710,-2516.700203,-1225.752797
876.402022,-9474.636058,-2590.720797,-1838.629195
876.402342,-9770.718434,-2664.741391,-1685.410096
876.402663,-9844.739029,-2960.823768,-2451.505594
876.402984,-10066.800811,-2220.617826,-3064.381992
876.403304,-9770.718434,-2886.803174,-3600.648841
876.403625,-9992.780217,-3478.967927,-3907.087040
876.403945,-9474.636058,-3182.885551,-4290.134789
876.404266,-9548.656652,-3478.967927,-4903.011187
876.404587,-8956.491898,-4071.132681,-4136.915689
876.404907,-8734.430116,-4367.215058,-4290.134789
876.405228,-8808.450710,-4367.215058,-3830.477490
876.405548,-9252.574275,-4515.256246,-3524.039291
876.405869,-9252.574275,-4663.297435,-3140.991542
876.406190,-9400.615463,-4515.256246,-3600.648841
876.406510,-9474.636058,-4663.297435,-3447.429741
876.406831,-9326.594869,-4293.194464,-3370.820191
876.407151,-9622.677246,-3627.009116,-3830.477490
876.407472,-9326.594869,-3701.029710,-3907.087040
876.407793,-9622.677246,-3552.988522,-3830.477490
876.408113,-9474.636058,-3034.844362,-3294.210641
876.408434,-10066.800811,-3182.885551,-2451.505594
876.408754,-10214.842000,-2812.782580,-1225.752797
876.409075,-10362.883188,-3182.885551,-689.485948
876.409395,-10214.842000,-3478.967927,0.000000
876.409716,-9844.739029,-3552.988522,229.828649
876.410037,-9770.718434,-3849.070898,76.609550
876.410357,-9548.656652,-3923.091493,229.828649
876.410678,-9400.615463,-4293.194464,-689.485948
876.410998,-8956.491898,-4515.256246,-1455.581446
876.411319,-9030.512492,-4589.276840,-1302.362347
876.411640,-9400.615463,-4293.194464,-1532.190996
876.411960,-9770.718434,-4367.215058,-995.924147
876.412281,-10214.842000,-4589.276840,-919.314598
876.412601,-9770.718434,-4663.297435,-689.485948
